id,name,host_id,host_name,host_since_Year,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,accommodates,bedrooms
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,2008,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,49,3,296,2022-06-01,4.89,4.93,5,4.97,4.98,4.69,4.82,2,1
20168,Studio with private bathroom in the centre 1,59484,Alexander,2009,Centrum-Oost,52.36407,4.89393,Private room,106,1,339,2020-04-09,4.44,4.69,4.79,4.63,4.62,4.87,4.49,2,1
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,2010,Centrum-West,52.38761,4.89188,Private room,126,2,231,2022-04-24,4.94,4.92,4.95,4.95,4.92,4.89,4.79,2,1
28871,Comfortable double room,124245,Edwin,2010,Centrum-West,52.36775,4.89092,Private room,75,2,403,2022-06-04,4.88,4.95,4.9,4.96,4.94,4.97,4.83,2,1
29051,Comfortable single room,124245,Edwin,2010,Centrum-Oost,52.36584,4.89111,Private room,55,2,554,2022-06-02,4.79,4.88,4.84,4.92,4.91,4.87,4.76,1,1
44391,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,2010,Centrum-Oost,52.37168,4.91471,Entire home/apt,240,3,42,2022-03-29,4.71,4.67,4.45,4.94,4.9,4.67,4.47,4,2
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,2010,Centrum-West,52.38028,4.89089,Entire home/apt,232,3,417,2022-05-30,4.91,4.91,4.9,4.95,4.96,4.98,4.77,3,2
50523,B & B de 9 Straatjes (city center),231946,Raymond,2010,Centrum-West,52.36811,4.88262,Private room,118,2,326,2022-05-16,4.87,4.9,4.89,4.87,4.85,4.94,4.82,2,1
55709,Bright Loft in Centre Amsterdam,263233,Jan-Willem,2010,Centrum-Oost,52.358112,4.897637,Entire home/apt,151,3,63,2022-04-13,4.95,4.89,4.92,4.94,4.98,4.92,4.79,2,1
55868,Apartment near Museumplein (centre),264178,Cornelie,2010,Zuid,52.35597,4.88512,Entire home/apt,149,4,95,2020-01-03,4.86,4.91,4.86,4.95,4.98,4.95,4.8,4,2
62015,"Charming, beautifully & sunny place with cat Luna",301340,Jessica,2010,Oud-Oost,52.36431,4.93122,Entire home/apt,120,2,36,2021-11-14,4.91,4.94,4.88,5,4.94,4.68,4.59,2,1
80635,TOP LOCATED Canalhouse B&B Jordaan,436145,Riks,2011,Centrum-West,52.37828,4.8944,Private room,82,3,228,2021-11-01,4.77,4.73,4.82,4.86,4.8,4.95,4.59,1,1
82482,The Backroom - Central private appt,186729,Shawna,2010,Centrum-West,52.36968,4.88122,Entire home/apt,109,2,923,2022-05-29,4.49,4.58,4.29,4.77,4.72,4.92,4.43,4,
91535,"Privat room and shared Houseboat ""Ramona"" centre",494281,Michiel,2011,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,145,1,67,2022-05-29,4.84,4.9,4.75,4.88,4.9,4.94,4.73,2,1
