CustomerID,Adopt,Gender,Age,Nationality,Loyalty,Tenure,Post,NumBookings,Spending
1001,1,Male,34,1,2,57,1,18,5760
1002,1,Female,36,1,2,5,1,6,1830
1003,1,Female,43,1,1,12,1,9,2682
1004,1,Male,47,1,1,70,1,21,6846
1005,1,Male,41,1,2,13,1,11,3377
1006,1,Male,30,1,2,37,1,13,4472
1007,1,Male,36,1,2,9,1,11,3795
1008,1,Male,38,1,1,52,1,17,4930
1009,1,Male,60,1,2,41,1,18,5832
1010,1,Male,51,1,1,60,1,19,5757
1011,1,Male,30,1,3,5,1,10,2860
1012,1,Female,36,1,2,55,1,17,5899
1013,1,Female,35,1,3,48,1,18,5418
1014,1,Female,52,1,3,26,1,17,4760
1015,1,Male,49,1,3,88,1,28,8428
1016,1,Male,51,1,1,53,1,18,5832
1017,1,Male,52,1,1,25,1,11,3597
1018,1,Male,46,1,3,46,1,19,5586
1019,1,Male,56,1,3,43,1,20,5560
1020,1,Female,50,1,2,19,1,12,3348
1021,1,Female,55,1,1,98,1,28,8988
1022,1,Female,41,1,1,48,1,17,5049
1023,1,Male,41,1,1,61,1,18,5220
1024,1,Male,35,0,1,66,1,19,6118
1025,1,Female,39,0,4,97,1,30,9270
1026,1,Male,49,1,3,19,1,14,3892
1027,1,Female,50,1,4,28,1,18,5454
1028,1,Female,36,1,3,38,1,17,5304
1029,1,Female,54,1,1,36,1,13,3848
1030,1,Male,36,1,2,37,1,15,4380
1031,1,Male,53,0,2,59,1,21,7014
1032,1,Female,35,1,1,96,1,23,6785
1033,1,Female,33,1,3,32,1,15,3795
1034,1,Male,60,1,4,56,1,25,7925
1035,1,Male,37,0,1,89,1,24,6984
1036,1,Female,51,0,1,73,1,21,6258
1037,1,Male,47,1,1,86,1,25,7150
1038,1,Male,37,1,1,73,1,20,6480
1039,1,Male,38,0,1,36,1,13,3744
1040,1,Male,27,1,1,62,1,18,5850
1041,1,Male,35,1,1,79,1,21,6384
1042,1,Male,38,1,1,45,1,15,4320
1043,1,Male,47,1,2,18,1,12,3372
1044,1,Female,42,1,1,14,1,9,2718
1045,1,Male,45,1,2,24,1,14,3766
1046,1,Male,62,0,1,93,1,27,7884
1047,1,Female,54,1,1,45,1,17,5219
1048,1,Male,47,1,2,25,1,13,3835
1049,1,Female,49,1,1,3,1,6,1728
1050,1,Female,45,1,1,65,1,20,6600
1051,1,Male,31,0,2,44,1,15,3810
1052,1,Female,58,1,2,56,1,19,4997
1053,1,Female,49,1,2,28,1,14,4620
1054,1,Male,40,1,2,85,1,25,7375
1055,1,Male,49,0,1,37,1,14,4382
1056,1,Female,50,1,1,95,1,24,7344
1057,1,Female,35,1,2,90,1,25,8075
1058,1,Male,72,1,2,12,1,13,4173
1059,1,Male,23,1,2,38,1,14,3892
1060,1,Male,53,1,2,26,1,13,3952
1061,1,Female,57,1,2,37,1,15,4515
1062,1,Male,51,1,1,95,1,26,7332
1063,1,Male,44,0,4,68,1,24,6888
1064,1,Male,45,1,1,53,1,17,5066
1065,1,Female,57,1,1,23,1,12,3684
1066,1,Male,53,1,2,15,1,12,3384
1067,1,Male,48,1,3,15,1,14,3878
1068,1,Male,40,1,1,75,1,20,5860
1069,1,Male,57,1,2,53,1,21,7329
1070,1,Female,44,1,4,96,1,30,10110
1071,1,Female,30,1,1,64,1,17,4709
1072,1,Male,54,1,1,7,1,8,2248
1073,1,Male,30,1,2,3,1,7,2177
1074,1,Male,41,1,2,17,1,12,3384
1075,1,Female,65,1,2,80,1,27,9045
1076,1,Female,52,0,2,59,1,20,5900
1077,1,Male,32,1,1,32,1,12,3648
1078,1,Male,26,1,1,52,1,15,4515
1079,1,Female,37,1,3,32,1,14,4340
1080,1,Female,59,1,2,97,1,27,7776
1081,1,Male,57,1,1,81,1,25,7350
1082,1,Male,56,1,1,11,1,10,3020
1083,1,Female,50,1,1,22,1,11,3179
1084,1,Male,36,1,2,34,1,14,4452
1085,1,Female,36,0,3,27,1,13,3705
1086,1,Female,44,1,1,21,1,12,3396
1087,1,Female,54,1,1,10,1,10,3380
1088,1,Male,51,1,3,43,1,18,5940
1089,1,Male,38,0,3,78,1,23,6463
1090,1,Male,61,0,1,42,1,17,4930
1091,1,Female,38,0,1,93,1,23,8004
1092,1,Female,53,1,3,19,1,15,4170
1093,1,Female,46,1,1,53,1,17,5015
1094,1,Female,25,1,1,6,1,6,1788
1095,1,Female,52,1,1,70,1,23,6394
1096,1,Male,70,1,2,46,1,19,6004
1097,1,Male,24,1,1,84,1,23,7705
1098,1,Male,35,0,1,94,1,23,5727
1099,1,Male,55,1,3,8,1,12,3516
1100,1,Female,43,1,2,72,1,23,7130
1101,1,Male,45,1,2,6,1,8,2376
1102,1,Female,36,1,1,99,1,24,7248
1103,1,Male,36,1,1,74,1,18,4842
1104,1,Male,43,1,1,27,1,13,4342
1105,1,Male,44,0,2,100,1,26,7436
1106,1,Female,40,1,1,65,1,19,6023
1107,1,Female,37,1,1,36,1,12,3672
1108,1,Male,46,1,2,14,1,12,3456
1109,1,Male,52,1,1,67,1,21,6867
1110,1,Male,64,1,2,30,1,15,5055
1111,1,Male,56,0,2,11,1,12,3192
1112,1,Male,41,1,1,94,1,24,6816
1113,1,Male,38,1,2,40,1,18,5112
1114,1,Male,41,1,1,9,1,10,2990
1115,1,Male,45,1,4,64,1,26,7670
1116,1,Male,45,1,3,28,1,16,5648
1117,1,Male,55,1,1,39,1,16,4336
1118,1,Female,48,1,1,57,1,18,5184
1119,1,Male,30,1,2,44,1,14,3948
1120,1,Male,65,1,4,64,1,27,8343
1121,1,Female,45,1,1,27,1,13,3848
1122,1,Male,60,1,2,48,1,20,5820
1123,1,Female,57,1,3,91,1,30,8880
1124,1,Male,47,1,2,78,1,24,7080
1125,1,Female,56,1,1,62,1,20,5820
1126,1,Female,51,1,2,7,1,9,2646
1127,1,Male,52,1,1,19,1,12,4044
1128,1,Male,53,1,1,18,1,12,3336
1129,1,Female,53,1,1,16,1,11,2970
1130,1,Female,49,1,2,34,1,14,3948
1131,1,Female,48,0,1,88,1,21,6321
1132,1,Male,49,0,2,47,1,17,5151
1133,1,Male,52,1,1,71,1,21,5838
1134,1,Male,45,1,2,22,1,13,3640
1135,1,Male,37,1,1,85,1,24,7560
1136,1,Female,41,0,2,79,1,21,6741
1137,1,Female,38,1,3,33,1,16,4640
1138,1,Female,29,1,1,26,1,10,2990
1139,1,Female,29,0,2,57,1,17,5032
1140,1,Male,53,1,1,31,1,12,3768
1141,1,Female,59,1,1,23,1,13,4043
1142,1,Male,51,0,1,39,1,15,4710
1143,1,Male,28,0,1,49,1,14,3682
1144,1,Male,48,1,1,26,1,14,4186
1145,1,Female,52,0,1,18,1,10,3180
1146,1,Male,59,0,2,46,1,18,5508
1147,1,Male,53,1,1,94,1,28,8736
1148,1,Female,50,1,1,68,1,20,6200
1149,1,Male,44,1,1,75,1,21,6720
1150,1,Male,59,1,1,56,1,21,6951
1151,1,Male,46,1,2,94,1,29,9106
1152,1,Male,48,1,2,38,1,15,4290
1153,1,Female,22,1,3,33,1,12,3072
1154,1,Male,59,1,1,8,1,12,3348
1155,1,Male,47,0,2,56,1,21,7056
1156,1,Female,38,0,1,12,1,8,2560
1157,1,Male,60,1,1,60,1,20,5700
1158,1,Female,43,1,1,34,1,14,4200
1159,1,Male,35,1,4,69,1,24,6168
1160,1,Male,43,1,2,21,1,11,3003
1161,1,Female,53,0,1,24,1,12,3912
1162,1,Male,51,1,2,37,1,16,4288
1163,1,Female,57,1,2,20,1,12,3204
1164,1,Male,54,1,2,46,1,19,6289
1165,1,Male,38,1,1,36,1,14,3990
1166,1,Female,45,1,1,47,1,17,4709
1167,1,Male,38,1,2,87,1,25,7375
1168,1,Male,53,0,2,95,1,26,7592
1169,1,Male,30,1,1,10,1,6,1842
1170,1,Male,23,1,1,31,1,9,2655
1171,1,Male,33,1,4,14,1,12,3540
1172,1,Female,53,0,2,38,1,17,5236
1173,1,Male,44,1,1,71,1,21,6216
1174,1,Male,42,1,2,40,1,17,4998
1175,1,Male,43,1,4,18,1,14,3808
1176,1,Male,37,0,1,26,1,10,2890
1177,1,Male,36,1,1,70,1,21,6279
1178,1,Female,39,1,2,63,1,19,5168
1179,1,Female,43,1,1,18,1,10,2860
1180,1,Male,44,1,1,17,1,9,2448
1181,1,Male,45,1,4,85,1,28,7980
1182,1,Male,61,1,1,17,1,13,3809
1183,1,Male,55,1,2,37,1,15,4470
1184,1,Male,34,1,1,28,1,13,3835
1185,1,Female,54,1,4,75,1,26,7618
1186,1,Male,45,0,1,34,1,13,3497
1187,1,Male,33,1,2,10,1,8,2632
1188,1,Male,42,1,1,69,1,19,5187
1189,1,Male,41,1,2,13,1,11,3333
1190,1,Female,39,1,1,16,1,8,2400
