customerID,TotalCharges,MonthlyCharges,tenure,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_DSL,InternetService_Fiber optic,InternetService_No,StreamingTV_No,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_Yes,PhoneService_No,PhoneService_Yes,Churn
4837-PZTIC,1875.25,41.9,47,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
6507-ZJSUR,2117.25,90.45,23,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
2157-MXBJS,989.45,75.3,13,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
2207-OBZNX,354.05,51.0,7,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1
5712-PTIWW,152.45,79.85,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
3935-TBRZZ,1110.5,25.7,44,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
1216-BGTSP,4964.7,108.45,45,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
3132-TVFDZ,2572.95,44.85,57,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1
6214-EDAKZ,1206.05,55.15,22,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
5606-AMZBO,765.15,78.15,10,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
6532-YLWSI,1021.8,20.8,53,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1
4690-LLKUA,770.6,45.05,17,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1
4139-DETXS,4528.0,64.45,72,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
2770-NSVDG,688.0,29.1,24,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0
9313-QOLTZ,518.3,20.9,26,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
8035-BUYVG,1716.45,42.35,40,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1
5447-WZAFP,5200.8,100.3,53,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0
0939-YAPAF,3527.6,100.25,35,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
3694-GLTJM,92.05,19.65,5,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0
6425-JWTDV,855.1,19.25,48,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
6549-NNDYT,394.1,30.85,13,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0
9313-CDOGY,717.3,19.6,38,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
0074-HDKDG,1611.0,61.6,25,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0
5968-HYJRZ,1160.45,24.55,47,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
7639-OPLNG,5731.85,79.25,70,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0
3422-LYEPQ,71.0,71.0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
6481-ESCNL,2878.75,100.55,29,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
4723-BEGSG,6094.25,86.65,72,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
9306-CPCBC,210.3,74.25,3,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
9741-YLNTD,522.35,87.95,6,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
5879-HMFFH,6520.8,88.05,72,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
9629-NHXFW,19.4,19.4,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
8819-IMISP,2429.1,80.45,31,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0
6772-KSATR,81.7,81.7,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
1268-ASBGA,1375.15,85.35,16,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1
3167-SNQPL,3741.85,101.15,38,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
0484-JPBRU,996.45,25.25,41,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0
6007-TCTST,8476.5,115.8,72,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0
2967-MXRAV,18.8,18.8,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
3679-XASPY,19.45,19.45,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
3466-BYAVD,1071.4,69.5,15,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0
2506-TNFCO,69.55,69.55,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
5346-BZCHP,1346.2,19.4,69,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
7825-GKXMW,45.8,45.8,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
1353-GHZOS,1374.35,59.75,22,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0
7691-KGKGP,3363.8,65.0,53,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0
3723-BFBGR,1291.3,54.8,24,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
7861-UVUFT,1308.4,84.3,15,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1
3658-QQJYD,4698.05,74.3,62,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
2954-PIBKO,4254.1,64.15,69,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
5469-CTCWN,6547.7,106.0,61,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
6621-NRZAK,1209.25,20.0,63,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0
1543-LLLFT,6066.55,98.3,61,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0
4143-HHPMK,4338.6,85.35,52,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1
7508-SMHXL,1288.3,89.0,15,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0
4465-VDKIQ,1358.6,77.8,18,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
0023-HGHWL,25.1,25.1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1
8250-ZNGGW,287.85,59.9,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
8295-KMENE,4519.5,76.45,59,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0
6557-BZXLQ,1043.3,69.65,16,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
4877-EVATK,20.0,20.0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1
3675-YDUPJ,193.05,19.85,10,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
1113-IUJYX,1348.9,105.95,14,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1
8627-EHGIP,2375.4,53.95,44,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1
9350-VLHMB,6373.1,89.55,67,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
1465-WCZVT,60.65,19.65,3,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
5485-WUYWF,94.55,66.4,2,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1
2519-LBNQL,6339.45,104.35,60,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
8104-OSKWT,1001.2,79.8,12,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0
1010-DIAUQ,492.55,96.5,5,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1
9955-QOPOY,4263.4,60.8,69,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0
2501-XWWTZ,760.05,70.2,11,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
2587-EKXTS,4915.15,111.5,44,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
9474-PHLYD,892.65,59.45,15,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1
9057-SIHCH,291.9,96.6,3,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
5678-VFNEQ,7412.25,104.1,71,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
2856-NNASM,3856.75,89.55,43,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1
0471-LVHGK,3001.2,73.0,41,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1
3336-JORSO,3655.45,110.45,33,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
3647-GMGDH,1914.9,94.7,22,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1
2160-GPFXD,3566.7,65.65,54,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
4745-LSPLO,20.5,20.5,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1
4512-ZUIYL,153.05,70.0,2,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1
3146-MSEGF,6425.65,88.05,72,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
4945-RVMTE,1646.45,59.55,28,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0
4878-BUNFV,828.85,20.7,42,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
6762-QVYJO,3624.35,59.75,58,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0
4659-NZRUF,1789.25,95.15,19,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1
5312-IRCFR,5980.75,92.85,64,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0
4847-QNOKA,44.9,44.9,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1
5465-BUBFA,772.4,19.3,41,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0
